Pandas Descriptive analysis of the Pokemon Type Grass
50%    296.500000   70.00000   70.500000  ...   60.500000   71.000000    3.000000
75%    483.000000   90.00000   85.000000  ...   75.000000   90.750000    4.000000
max    676.000000  255.00000  160.000000  ...  135.000000  135.000000    6.000000

[8 rows x 8 columns]
Pandas Descriptive analysis of the Pokemon Type Poison
                #          HP      Attack  ...     Sp. Def       Speed  Generation
count   28.000000   28.000000   28.000000  ...   28.000000   28.000000   28.000000
mean   251.785714   67.250000   74.678571  ...   64.392857   63.571429    2.535714
std    228.801767   19.665019   19.630010  ...   19.887348   22.631392    1.752927
min     23.000000   35.000000   43.000000  ...   40.000000   25.000000    1.000000
25%     33.750000   50.000000   60.000000  ...   52.250000   50.000000    1.000000
50%    139.500000   67.500000   74.000000  ...   60.500000   62.500000    1.500000
75%    451.250000   80.250000   90.500000  ...   76.000000   77.000000    4.000000
max    691.000000  105.000000  106.000000  ...  123.000000  130.000000    6.000000

[8 rows x 8 columns]
Pandas Descriptive analysis of the Pokemon Type Electric
                #         HP      Attack  ...     Sp. Def       Speed  Generation
count   44.000000  44.000000   44.000000  ...   44.000000   44.000000   44.000000
mean   363.500000  59.795455   69.090909  ...   73.704545   84.500000    3.272727
std    202.731063  17.306511   23.764169  ...   22.601275   26.691607    1.604697
min     25.000000  20.000000   30.000000  ...   32.000000   35.000000    1.000000
25%    179.750000  50.000000   53.750000  ...   55.000000   60.000000    2.000000
50%    403.500000  60.000000   65.000000  ...   79.500000   88.000000    4.000000
75%    489.750000  70.000000   85.000000  ...   90.000000  101.500000    4.250000
max    702.000000  90.000000  123.000000  ...  110.000000  140.000000    6.000000

[8 rows x 8 columns]
Pandas Descriptive analysis of the Pokemon Type Ground
                #          HP      Attack  ...     Sp. Def       Speed  Generation
count   32.000000   32.000000   32.000000  ...   32.000000   32.000000   32.000000
mean   356.281250   73.781250   95.750000  ...   62.750000   63.906250    3.156250
std    204.899855   25.662492   33.059087  ...   21.267877   27.450083    1.588454
min     27.000000   10.000000   40.000000  ...   30.000000   10.000000    1.000000
25%    183.250000   56.750000   72.000000  ...   45.000000   40.000000    1.750000
50%    363.500000   75.000000   85.000000  ...   62.500000   65.000000    3.000000
75%    535.250000   91.250000  121.000000  ...   80.000000   90.000000    5.000000
max    645.000000  115.000000  180.000000  ...  120.000000  120.000000    5.000000

[8 rows x 8 columns]
Pandas Descriptive analysis of the Pokemon Type Fairy
                #          HP      Attack  ...     Sp. Def      Speed  Generation
count   17.000000   17.000000   17.000000  ...   17.000000  17.000000   17.000000
mean   449.529412   74.117647   61.529412  ...   84.705882  48.588235    4.117647
std    271.983942   23.587291   29.751298  ...   29.721130  23.305200    2.147160
min     35.000000   35.000000   20.000000  ...   40.000000  15.000000    1.000000
25%    176.000000   55.000000   45.000000  ...   65.000000  30.000000    2.000000
50%    669.000000   78.000000   52.000000  ...   79.000000  45.000000    6.000000
75%    683.000000   90.000000   72.000000  ...   98.000000  60.000000    6.000000
max    716.000000  126.000000  131.000000  ...  154.000000  99.000000    6.000000

[8 rows x 8 columns]
Pandas Descriptive analysis of the Pokemon Type Fighting
                #          HP      Attack  ...     Sp. Def       Speed  Generation
count   27.000000   27.000000   27.000000  ...   27.000000   27.000000   27.000000
mean   363.851852   69.851852   96.777778  ...   64.703704   66.074074    3.370370
std    218.565200   25.852695   28.290163  ...   22.745777   26.054567    1.800601
min     56.000000   30.000000   35.000000  ...   30.000000   25.000000    1.000000
25%    171.500000   50.000000   80.000000  ...   49.000000   45.000000    1.500000
50%    308.000000   70.000000  100.000000  ...   63.000000   60.000000    3.000000
75%    536.000000   79.000000  120.000000  ...   75.000000   86.000000    5.000000
max    701.000000  144.000000  145.000000  ...  110.000000  118.000000    6.000000

[8 rows x 8 columns]
Pandas Descriptive analysis of the Pokemon Type Psychic
                #          HP      Attack  ...     Sp. Def       Speed  Generation
count   57.000000   57.000000   57.000000  ...   57.000000   57.000000   57.000000
mean   380.807018   70.631579   71.456140  ...   86.280702   81.491228    3.385965
std    194.600455   28.421340   42.309265  ...   31.126329   37.335412    1.644845
min     63.000000   20.000000   20.000000  ...   20.000000   20.000000    1.000000
25%    201.000000   50.000000   45.000000  ...   58.000000   50.000000    2.000000
50%    386.000000   68.000000   57.000000  ...   90.000000   80.000000    3.000000
75%    528.000000   80.000000   95.000000  ...  110.000000  104.000000    5.000000
max    720.000000  190.000000  190.000000  ...  160.000000  180.000000    6.000000

[8 rows x 8 columns]
Pandas Descriptive analysis of the Pokemon Type Rock
                #          HP      Attack  ...     Sp. Def       Speed  Generation
count   44.000000   44.000000   44.000000  ...   44.000000   44.000000   44.000000
mean   392.727273   65.363636   92.863636  ...   75.477273   55.909091    3.454545
std    213.746140   20.833884   35.325458  ...   32.265965   29.903580    1.848375
min     74.000000   30.000000   40.000000  ...   25.000000   10.000000    1.000000
25%    230.750000   50.000000   59.750000  ...   50.000000   35.000000    2.000000
50%    362.500000   68.500000   95.000000  ...   70.000000   50.000000    3.000000
75%    566.250000   80.000000  120.250000  ...   90.500000   70.000000    5.000000
max    719.000000  123.000000  165.000000  ...  150.000000  150.000000    6.000000

[8 rows x 8 columns]
Pandas Descriptive analysis of the Pokemon Type Ghost
                #          HP      Attack  ...     Sp. Def      Speed  Generation
count   32.000000   32.000000   32.000000  ...   32.000000   32.00000   32.000000
mean   486.500000   64.437500   73.781250  ...   76.468750   64.34375    4.187500
std    209.189218   31.685895   29.629687  ...   26.038414   28.02028    1.693203
min     92.000000   20.000000   30.000000  ...   33.000000   20.00000    1.000000
25%    354.750000   45.000000   53.750000  ...   55.000000   44.00000    3.000000
50%    487.000000   59.500000   66.000000  ...   75.000000   60.50000    4.000000
75%    709.250000   64.250000   92.750000  ...   91.250000   84.25000    6.000000
max    711.000000  150.000000  165.000000  ...  135.000000  130.00000    6.000000

[8 rows x 8 columns]
Pandas Descriptive analysis of the Pokemon Type Ice
                #          HP      Attack  ...     Sp. Def       Speed  Generation
count   24.000000   24.000000   24.000000  ...   24.000000   24.000000   24.000000
mean   423.541667   72.000000   72.750000  ...   76.291667   63.458333    3.541667
std    175.465834   21.286861   27.289511  ...   37.213227   24.498410    1.473805
min    124.000000   36.000000   30.000000  ...   30.000000   25.000000    1.000000
25%    330.250000   54.000000   50.000000  ...   50.000000   48.750000    2.750000
50%    371.500000   70.000000   67.000000  ...   70.000000   62.000000    3.000000
75%    583.250000   90.000000   87.500000  ...   91.250000   80.000000    5.000000
max    713.000000  110.000000  130.000000  ...  200.000000  110.000000    6.000000

[8 rows x 8 columns]
Pandas Descriptive analysis of the Pokemon Type Dragon
                #          HP      Attack  ...     Sp. Def       Speed  Generation
count   32.000000   32.000000   32.000000  ...   32.000000   32.000000   32.000000
mean   474.375000   83.312500  112.125000  ...   88.843750   83.031250    3.875000
std    170.190169   23.795415   33.742622  ...   29.884843   23.239961    1.431219
min    147.000000   41.000000   50.000000  ...   30.000000   40.000000    1.000000
25%    373.000000   67.500000   86.250000  ...   70.000000   65.250000    3.000000
50%    443.500000   80.000000  113.500000  ...   90.000000   90.000000    4.000000
75%    643.250000  101.250000  134.250000  ...  105.000000   97.750000    5.000000
max    718.000000  125.000000  180.000000  ...  150.000000  120.000000    6.000000

[8 rows x 8 columns]
Pandas Descriptive analysis of the Pokemon Type Dark
                #          HP      Attack  ...     Sp. Def       Speed  Generation
count   31.000000   31.000000   31.000000  ...   31.000000   31.000000   31.000000
mean   461.354839   66.806452   88.387097  ...   69.516129   76.161290    4.032258
std    176.022072   21.078297   25.774247  ...   24.799020   27.768203    1.353609
min    197.000000   35.000000   50.000000  ...   30.000000   20.000000    2.000000
25%    282.000000   51.000000   65.000000  ...   50.000000   59.000000    3.000000
50%    509.000000   65.000000   88.000000  ...   65.000000   70.000000    5.000000
75%    627.000000   73.500000  100.000000  ...   87.500000   98.500000    5.000000
max    717.000000  126.000000  150.000000  ...  130.000000  125.000000    6.000000

[8 rows x 8 columns]
Pandas Descriptive analysis of the Pokemon Type Steel
                #          HP      Attack  ...     Sp. Def       Speed  Generation
count   27.000000   27.000000   27.000000  ...   27.000000   27.000000   27.000000
mean   442.851852   65.222222   92.703704  ...   80.629630   55.259259    3.851852
std    164.847180   16.044010   30.388276  ...   29.018758   25.846578    1.350319
min    208.000000   40.000000   24.000000  ...   37.000000   23.000000    2.000000
25%    305.500000   57.000000   77.500000  ...   60.000000   31.500000    3.000000
50%    379.000000   60.000000   89.000000  ...   80.000000   50.000000    3.000000
75%    600.500000   75.000000  110.000000  ...   95.000000   70.000000    5.000000
max    707.000000  100.000000  150.000000  ...  150.000000  110.000000    6.000000

[8 rows x 8 columns]
Pandas Descriptive analysis of the Pokemon Type Flying
                #         HP  Attack  ...    Sp. Def       Speed  Generation
count    4.000000   4.000000    4.00  ...   4.000000    4.000000     4.00000
mean   677.750000  70.750000   78.75  ...  72.500000  102.500000     5.50000
std     42.437209  20.694202   37.50  ...  22.173558   32.098806     0.57735
min    641.000000  40.000000   30.00  ...  40.000000   55.000000     5.00000
25%    641.000000  69.250000   60.00  ...  70.000000   97.000000     5.00000
50%    677.500000  79.000000   85.00  ...  80.000000  116.000000     5.50000
75%    714.250000  80.500000  103.75  ...  82.500000  121.500000     6.00000
max    715.000000  85.000000  115.00  ...  90.000000  123.000000     6.00000

[8 rows x 8 columns]
