	#	#	#	#	#	#	#	#	HP	HP	HP	HP	HP	HP	HP	HP	Attack	Attack	Attack	Attack	Attack	Attack	Attack	Attack	Defense	Defense	Defense	Defense	Defense	Defense	Defense	Defense	Sp. Atk	Sp. Atk	Sp. Atk	Sp. Atk	Sp. Atk	Sp. Atk	Sp. Atk	Sp. Atk	Sp. Def	Sp. Def	Sp. Def	Sp. Def	Sp. Def	Sp. Def	Sp. Def	Sp. Def	Speed	Speed	Speed	Speed	Speed	Speed	Speed	Speed	Generation	Generation	Generation	Generation	Generation	Generation	Generation	Generation	Total	Total	Total	Total	Total	Total	Total	Total	Total2	Total2	Total2	Total2	Total2	Total2	Total2	Total2	per_of_max_hp	per_of_max_hp	per_of_max_hp	per_of_max_hp	per_of_max_hp	per_of_max_hp	per_of_max_hp	per_of_max_hp
Ghost	32.0	486.5	209.18921825050657	92.0	354.75	487.0	709.25	711.0	32.0	64.4375	31.685895406977778	20.0	45.0	59.5	64.25	150.0	32.0	73.78125	29.629686916573952	30.0	53.75	66.0	92.75	165.0	32.0	81.1875	32.55113842714608	30.0	60.0	72.5	111.0	145.0	32.0	79.34375	32.56121715942489	30.0	58.0	65.0	96.25	170.0	32.0	76.46875	26.038413775333627	33.0	55.0	75.0	91.25	135.0	32.0	64.34375	28.020279954163154	20.0	44.0	60.5	84.25	130.0	32.0	4.1875	1.6932027297021959	1.0	3.0	4.0	6.0	6.0	32.0	439.5625	110.07268493019481	275.0	335.0	464.5	495.75	680.0	32.0	439.5625	110.07268493019481	275.0	335.0	464.5	495.75	680.0	32.0	0.25269607843137254	0.12425841336069718	0.0784313725490196	0.17647058823529413	0.23333333333333334	0.2519607843137255	0.5882352941176471
Grass	70.0	344.87142857142857	200.26438477553566	1.0	187.25	372.0	496.75	673.0	70.0	67.27142857142857	19.516564074957596	30.0	51.25	65.5	75.0	123.0	70.0	73.21428571428571	25.380520236067188	27.0	55.0	70.0	93.5	132.0	70.0	70.8	24.48519221246097	30.0	50.0	66.0	84.5	131.0	70.0	77.5	27.24486389570798	24.0	57.0	75.0	99.5	145.0	70.0	70.42857142857143	21.44664524191383	30.0	55.0	66.0	85.0	129.0	70.0	61.92857142857143	28.506455627144536	10.0	40.0	58.5	80.0	145.0	70.0	3.357142857142857	1.5791734609838708	1.0	2.0	3.5	5.0	6.0	70.0	421.14285714285717	106.6506263819414	180.0	318.5	430.0	497.0	630.0	70.0	421.14285714285717	106.6506263819414	180.0	318.5	430.0	497.0	630.0	70.0	0.26380952380952366	0.07653554539199056	0.11764705882352941	0.20098039215686275	0.2568627450980392	0.29411764705882354	0.4823529411764706
Ground	32.0	356.28125	204.89985506300076	27.0	183.25	363.5	535.25	645.0	32.0	73.78125	25.662492241879317	10.0	56.75	75.0	91.25	115.0	32.0	95.75	33.05908688706407	40.0	72.0	85.0	121.0	180.0	32.0	84.84375	33.78691231155027	25.0	53.75	84.5	110.0	160.0	32.0	56.46875	28.1355983615293	20.0	39.5	47.5	65.75	150.0	32.0	62.75	21.267876731003525	30.0	45.0	62.5	80.0	120.0	32.0	63.90625	27.450082995350176	10.0	40.0	65.0	90.0	120.0	32.0	3.15625	1.5884538028759185	1.0	1.75	3.0	5.0	5.0	32.0	437.5	123.91308087890974	265.0	329.5	440.0	512.25	770.0	32.0	437.5	123.91308087890974	265.0	329.5	440.0	512.25	770.0	32.0	0.2893382352941176	0.1006372244779581	0.0392156862745098	0.22254901960784312	0.29411764705882354	0.35784313725490197	0.45098039215686275
Ice	24.0	423.5416666666667	175.46583444639876	124.0	330.25	371.5	583.25	713.0	24.0	72.0	21.286860613594683	36.0	54.0	70.0	90.0	110.0	24.0	72.75	27.289510646113605	30.0	50.0	67.0	87.5	130.0	24.0	71.41666666666667	34.387708454528095	15.0	48.75	75.0	85.0	184.0	24.0	77.54166666666667	26.60496711823412	30.0	60.0	77.5	95.0	130.0	24.0	76.29166666666667	37.21322715597666	30.0	50.0	70.0	91.25	200.0	24.0	63.458333333333336	24.49841018207662	25.0	48.75	62.0	80.0	110.0	24.0	3.5416666666666665	1.4738050920238275	1.0	2.75	3.0	5.0	6.0	24.0	433.4583333333333	108.28102694886786	250.0	305.0	467.5	526.25	580.0	24.0	433.4583333333333	108.28102694886786	250.0	305.0	467.5	526.25	580.0	24.0	0.28235294117647064	0.08347788475919485	0.1411764705882353	0.21176470588235297	0.27450980392156865	0.35294117647058826	0.43137254901960786
Normal	98.0	319.1734693877551	193.85482002682593	16.0	161.25	296.5	483.0	676.0	98.0	77.27551020408163	36.233430087732174	30.0	55.0	70.0	90.0	255.0	98.0	73.46938775510205	30.295862084038905	5.0	55.0	70.5	85.0	160.0	98.0	59.8469387755102	23.7718329558048	5.0	43.25	60.0	73.75	126.0	98.0	55.816326530612244	23.946395006121186	15.0	40.0	50.0	65.0	135.0	98.0	63.724489795918366	25.14280065932871	20.0	43.5	60.5	75.0	135.0	98.0	71.55102040816327	28.4061567484247	5.0	50.0	71.0	90.75	135.0	98.0	3.0510204081632653	1.5754066663968598	1.0	2.0	3.0	4.0	6.0	98.0	401.68367346938777	115.73303771765518	190.0	302.5	415.0	481.5	720.0	98.0	401.68367346938777	115.73303771765518	190.0	302.5	415.0	481.5	720.0	98.0	0.3030412164865946	0.1420918826969889	0.11764705882352941	0.21568627450980393	0.27450980392156865	0.35294117647058826	1.0
Poison	28.0	251.78571428571428	228.80176720744242	23.0	33.75	139.5	451.25	691.0	28.0	67.25	19.66501876335141	35.0	50.0	67.5	80.25	105.0	28.0	74.67857142857143	19.630010228914852	43.0	60.0	74.0	90.5	106.0	28.0	68.82142857142857	21.066127931628678	35.0	52.75	67.0	82.25	120.0	28.0	60.42857142857143	19.322657150740923	30.0	40.75	60.0	71.5	100.0	28.0	64.39285714285714	19.88734808255273	40.0	52.25	60.5	76.0	123.0	28.0	63.57142857142857	22.63139178618704	25.0	50.0	62.5	77.0	130.0	28.0	2.5357142857142856	1.7529265023814669	1.0	1.0	1.5	4.0	6.0	28.0	399.14285714285717	92.35868656562296	245.0	323.75	401.5	490.0	535.0	28.0	399.14285714285717	92.35868656562296	245.0	323.75	401.5	490.0	535.0	28.0	0.26372549019607844	0.07711772064059376	0.13725490196078433	0.19607843137254902	0.2647058823529412	0.31470588235294117	0.4117647058823529
Psychic	57.0	380.8070175438597	194.6004550167646	63.0	201.0	386.0	528.0	720.0	57.0	70.63157894736842	28.421339806402113	20.0	50.0	68.0	80.0	190.0	57.0	71.45614035087719	42.30926535449526	20.0	45.0	57.0	95.0	190.0	57.0	67.6842105263158	28.359401247165717	15.0	48.0	65.0	80.0	160.0	57.0	98.40350877192982	38.53933966422344	23.0	70.0	95.0	125.0	194.0	57.0	86.28070175438596	31.12632922346158	20.0	58.0	90.0	110.0	160.0	57.0	81.49122807017544	37.33541157391309	20.0	50.0	80.0	104.0	180.0	57.0	3.3859649122807016	1.6448446079983217	1.0	2.0	3.0	5.0	6.0	57.0	475.94736842105266	139.02664454965762	198.0	336.0	485.0	600.0	780.0	57.0	475.94736842105266	139.02664454965762	198.0	336.0	485.0	600.0	780.0	57.0	0.2769865841073271	0.11145623453491026	0.0784313725490196	0.19607843137254902	0.26666666666666666	0.3137254901960784	0.7450980392156863
Rock	44.0	392.72727272727275	213.74613975966082	74.0	230.75	362.5	566.25	719.0	44.0	65.36363636363636	20.833884418363194	30.0	50.0	68.5	80.0	123.0	44.0	92.86363636363636	35.32545752371853	40.0	59.75	95.0	120.25	165.0	44.0	100.79545454545455	36.44720906497221	40.0	71.5	100.0	120.5	200.0	44.0	63.34090909090909	28.249670244478537	10.0	45.0	60.0	74.25	160.0	44.0	75.47727272727273	32.265964958677245	25.0	50.0	70.0	90.5	150.0	44.0	55.90909090909091	29.90358007797587	10.0	35.0	50.0	70.0	150.0	44.0	3.4545454545454546	1.8483750934964278	1.0	2.0	3.0	5.0	6.0	44.0	453.75	108.05922686947147	280.0	360.25	467.5	516.5	700.0	44.0	453.75	108.05922686947147	280.0	360.25	467.5	516.5	700.0	44.0	0.2563279857397504	0.08170150752299292	0.11764705882352941	0.19607843137254902	0.2686274509803922	0.3137254901960784	0.4823529411764706
Steel	27.0	442.85185185185185	164.84717951057758	208.0	305.5	379.0	600.5	707.0	27.0	65.22222222222223	16.044009985357665	40.0	57.0	60.0	75.0	100.0	27.0	92.70370370370371	30.388275591867558	24.0	77.5	89.0	110.0	150.0	27.0	126.37037037037037	44.80654841233345	50.0	97.5	120.0	150.0	230.0	27.0	67.51851851851852	31.458605732674716	24.0	47.5	55.0	79.5	150.0	27.0	80.62962962962963	29.018758055580516	37.0	60.0	80.0	95.0	150.0	27.0	55.25925925925926	25.846577801434062	23.0	31.5	50.0	70.0	110.0	27.0	3.8518518518518516	1.3503191561115555	2.0	3.0	3.0	5.0	6.0	27.0	487.7037037037037	115.42090692325094	300.0	425.0	500.0	580.0	700.0	27.0	487.7037037037037	115.42090692325094	300.0	425.0	500.0	580.0	700.0	27.0	0.25577342047930285	0.06291768621708888	0.1568627450980392	0.2235294117647059	0.23529411764705882	0.29411764705882354	0.39215686274509803
Water	112.0	303.0892857142857	188.44080742288256	7.0	130.0	275.0	456.25	693.0	112.0	72.0625	27.487026014087068	20.0	52.25	70.0	90.25	170.0	112.0	74.15178571428571	28.377192282316127	10.0	53.0	72.0	92.0	155.0	112.0	72.94642857142857	27.773809454853176	20.0	54.5	70.0	88.5	180.0	112.0	74.8125	29.030127640277623	10.0	55.0	70.0	90.5	180.0	112.0	70.51785714285714	28.460493288937883	20.0	50.0	65.0	89.25	160.0	112.0	65.96428571428571	23.01935283387882	15.0	50.0	65.0	82.0	122.0	112.0	2.857142857142857	1.5588003175065208	1.0	1.0	3.0	4.0	6.0	112.0	430.45535714285717	113.1882660643146	200.0	328.75	455.0	502.25	770.0	112.0	430.45535714285717	113.1882660643146	200.0	328.75	455.0	502.25	770.0	112.0	0.28259803921568627	0.1077922588787728	0.0784313725490196	0.20490196078431372	0.27450980392156865	0.353921568627451	0.6666666666666666
